"","code_bairro","year","pop_total","pop_men","pop_women","pop_15to19_total","pop_15to19_men","pop_15to19_women","pop_20to24_total","pop_20to24_men","pop_20to24_women","pop_25to29_total","pop_25to29_men","pop_25to29_women","name_bairros","pop_young","pop_youngmen","pop_youngwomen","prop_young_total","prop_youngmen_men","prop_youngwom_woman","prop_youngmen_young","prop_youngwom_young"
"1",2611606001,2000,925,462,463,84,51,33,91,49,42,96,43,53,"Recife",271,143,128,0.29,0.31,0.28,0.53,0.47
"2",2611606002,2000,29140,13291,15849,3026,1472,1554,2801,1313,1488,2392,1098,1294,"Santo Amaro",8219,3883,4336,0.28,0.29,0.27,0.47,0.53
"3",2611606003,2000,14033,5864,8169,1237,556,681,1446,640,806,1204,537,667,"Boa Vista",3887,1733,2154,0.28,0.3,0.26,0.45,0.55
"4",2611606004,2000,2201,890,1311,201,90,111,224,90,134,205,91,114,"Soledade",630,271,359,0.29,0.3,0.27,0.43,0.57
"5",2611606005,2000,539,279,260,50,26,24,32,17,15,59,29,30,"Santo Antônio",141,72,69,0.26,0.26,0.27,0.51,0.49
"6",2611606006,2000,531,230,301,55,27,28,62,28,34,39,22,17,"Paissandu",156,77,79,0.29,0.33,0.26,0.49,0.51
"7",2611606007,2000,959,416,543,73,36,37,69,33,36,103,47,56,"Ilha do Leite",245,116,129,0.26,0.28,0.24,0.47,0.53
"8",2611606008,2000,6826,3248,3578,784,368,416,618,320,298,622,315,307,"Coelhos",2024,1003,1021,0.3,0.31,0.29,0.5,0.5
"9",2611606009,2000,12755,6121,6634,1415,727,688,1201,537,664,974,464,510,"Ilha Joana Bezerra",3590,1728,1862,0.28,0.28,0.28,0.48,0.52
"10",2611606010,2000,1536,674,862,163,80,83,150,73,77,121,48,73,"Cabanga",434,201,233,0.28,0.3,0.27,0.46,0.54
"11",2611606011,2000,8653,4164,4489,1013,490,523,785,380,405,683,311,372,"São José",2481,1181,1300,0.29,0.28,0.29,0.48,0.52
"12",2611606012,2000,2175,938,1237,225,100,125,241,118,123,179,80,99,"Derby",645,298,347,0.3,0.32,0.28,0.46,0.54
"13",2611606013,2000,16877,7395,9482,1792,835,957,1707,774,933,1209,528,681,"Graças",4708,2137,2571,0.28,0.29,0.27,0.45,0.55
"14",2611606014,2000,1188,526,662,140,61,79,136,65,71,88,42,46,"Jaqueira",364,168,196,0.31,0.32,0.3,0.46,0.54
"15",2611606015,2000,4382,1956,2426,455,207,248,392,186,206,330,154,176,"Aflitos",1177,547,630,0.27,0.28,0.26,0.46,0.54
"16",2611606016,2000,8902,3800,5102,877,430,447,918,404,514,691,297,394,"Espinheiro",2486,1131,1355,0.28,0.3,0.27,0.45,0.55
"17",2611606017,2000,2606,1177,1429,264,117,147,238,104,134,204,94,110,"Rosarinho",706,315,391,0.27,0.27,0.27,0.45,0.55
"18",2611606018,2000,11662,5001,6661,1102,532,570,1030,468,562,863,340,523,"Tamarineira",2995,1340,1655,0.26,0.27,0.25,0.45,0.55
"19",2611606019,2000,4213,2010,2203,473,240,233,404,205,199,328,148,180,"Peixinhos",1205,593,612,0.29,0.3,0.28,0.49,0.51
"20",2611606020,2000,8335,3894,4441,839,419,420,878,442,436,756,371,385,"Campina do Barreto",2473,1232,1241,0.3,0.32,0.28,0.5,0.5
