"","code_bairro","Ano","pop_total","pop_homem","pop_mulher","pop_15a19_total","pop_15a19_homem","pop_15a19_mulher","pop_20a24_total","pop_20a24_homem","pop_20a24_mulher","pop_25a29_total","pop_25a29_homem","pop_25a29_mulher","localidade","pop_jovem","pop_homem_jovem","pop_mulher_jovem","prop_jovem_total","prop_homemj_homemt","prop_mulherj_mulhert","prop_homemj_jovemt","prop_mulherj_jovemt"
"95",2611606001,2010,602,287,315,54,23,31,55,33,22,48,20,28,"Recife",157,76,81,0.261,0.265,0.257,0.484,0.516
"96",2611606002,2010,27939,12680,15259,2400,1175,1225,2539,1205,1334,2449,1163,1286,"Santo Amaro",7388,3543,3845,0.264,0.279,0.252,0.48,0.52
"97",2611606003,2010,14778,6164,8614,1009,441,568,1771,759,1012,1738,760,978,"Boa Vista",4518,1960,2558,0.306,0.318,0.297,0.434,0.566
"98",2611606004,2010,2495,1041,1454,211,90,121,352,168,184,301,142,159,"Soledade",864,400,464,0.346,0.384,0.319,0.463,0.537
"99",2611606005,2010,285,159,126,14,8,6,34,22,12,31,17,14,"Santo Antônio",79,47,32,0.277,0.296,0.254,0.595,0.405
"100",2611606006,2010,507,218,289,52,25,27,61,27,34,57,27,30,"Paissandu",170,79,91,0.335,0.362,0.315,0.465,0.535
"101",2611606007,2010,1007,446,561,73,38,35,89,47,42,121,62,59,"Ilha do Leite",283,147,136,0.281,0.33,0.242,0.519,0.481
"102",2611606008,2010,7633,3571,4062,682,330,352,715,337,378,737,333,404,"Coelhos",2134,1000,1134,0.28,0.28,0.279,0.469,0.531
"103",2611606009,2010,12629,6002,6627,1330,653,677,1195,556,639,1109,543,566,"Ilha Joana Bezerra",3634,1752,1882,0.288,0.292,0.284,0.482,0.518
"104",2611606010,2010,1551,679,872,118,52,66,119,57,62,149,74,75,"Cabanga",386,183,203,0.249,0.27,0.233,0.474,0.526
"105",2611606011,2010,8688,4191,4497,738,377,361,733,364,369,803,370,433,"São José",2274,1111,1163,0.262,0.265,0.259,0.489,0.511
"106",2611606012,2010,2071,855,1216,137,67,70,259,119,140,236,101,135,"Derby",632,287,345,0.305,0.336,0.284,0.454,0.546
"107",2611606013,2010,20538,8842,11696,1488,721,767,1958,887,1071,1917,849,1068,"Graças",5363,2457,2906,0.261,0.278,0.248,0.458,0.542
"108",2611606014,2010,1591,705,886,113,56,57,111,51,60,124,55,69,"Jaqueira",348,162,186,0.219,0.23,0.21,0.466,0.534
"109",2611606015,2010,5773,2541,3232,409,210,199,510,237,273,516,229,287,"Aflitos",1435,676,759,0.249,0.266,0.235,0.471,0.529
"110",2611606016,2010,10438,4465,5973,619,305,314,993,486,507,1081,522,559,"Espinheiro",2693,1313,1380,0.258,0.294,0.231,0.488,0.512
"111",2611606017,2010,4077,1817,2260,276,136,140,328,142,186,390,162,228,"Rosarinho",994,440,554,0.244,0.242,0.245,0.443,0.557
"112",2611606018,2010,14124,6151,7973,1019,516,503,1219,593,626,1171,555,616,"Tamarineira",3409,1664,1745,0.241,0.271,0.219,0.488,0.512
"113",2611606019,2010,4998,2443,2555,469,233,236,469,231,238,524,267,257,"Peixinhos",1462,731,731,0.293,0.299,0.286,0.5,0.5
"114",2611606020,2010,9484,4430,5054,882,417,465,813,399,414,819,390,429,"Campina do Barreto",2514,1206,1308,0.265,0.272,0.259,0.48,0.52
"115",2611606021,2010,14530,6607,7923,1138,573,565,1226,585,641,1321,645,676,"Arruda",3685,1803,1882,0.254,0.273,0.238,0.489,0.511
"116",2611606022,2010,1554,693,861,117,63,54,152,69,83,136,62,74,"Ponto de Parada",405,194,211,0.261,0.28,0.245,0.479,0.521
"117",2611606023,2010,2658,1162,1496,185,98,87,193,89,104,223,99,124,"Hipódromo",601,286,315,0.226,0.246,0.211,0.476,0.524
"118",2611606024,2010,32149,14557,17592,2625,1277,1348,2850,1324,1526,2855,1358,1497,"Campo Grande",8330,3959,4371,0.259,0.272,0.248,0.475,0.525
"119",2611606025,2010,11940,5196,6744,719,367,352,876,390,486,1201,531,670,"Encruzilhada",2796,1288,1508,0.234,0.248,0.224,0.461,0.539
"120",2611606026,2010,1083,475,608,70,25,45,83,46,37,100,37,63,"Torreão",253,108,145,0.234,0.227,0.238,0.427,0.573
"121",2611606027,2010,20305,9954,10351,2017,1007,1010,1956,978,978,1878,905,973,"Passarinho",5851,2890,2961,0.288,0.29,0.286,0.494,0.506
"122",2611606028,2010,32905,15662,17243,3108,1570,1538,3079,1518,1561,2921,1412,1509,"Dois Unidos",9108,4500,4608,0.277,0.287,0.267,0.494,0.506
"123",2611606029,2010,14867,7005,7862,1354,699,655,1316,646,670,1330,611,719,"Linha do Tiro",4000,1956,2044,0.269,0.279,0.26,0.489,0.511
"124",2611606030,2010,8856,4231,4625,758,377,381,774,389,385,802,386,416,"Beberibe",2334,1152,1182,0.264,0.272,0.256,0.494,0.506
"125",2611606031,2010,7703,3601,4102,692,338,354,808,362,446,728,358,370,"Alto Santa Teresinha",2228,1058,1170,0.289,0.294,0.285,0.475,0.525
"126",2611606032,2010,7713,3579,4134,627,336,291,664,313,351,699,345,354,"Porto da Madeira",1990,994,996,0.258,0.278,0.241,0.499,0.501
"127",2611606033,2010,6584,2983,3601,490,229,261,543,295,248,571,267,304,"Cajueiro",1604,791,813,0.244,0.265,0.226,0.493,0.507
"128",2611606034,2010,8132,3707,4425,622,317,305,665,302,363,729,349,380,"Fundão",2016,968,1048,0.248,0.261,0.237,0.48,0.52
"129",2611606035,2010,43529,20294,23235,3773,1888,1885,3874,1866,2008,3759,1832,1927,"Água Fria",11406,5586,5820,0.262,0.275,0.25,0.49,0.51
"130",2611606036,2010,8472,3880,4592,714,360,354,725,336,389,754,355,399,"Bomba do Hemetério",2193,1051,1142,0.259,0.271,0.249,0.479,0.521
"131",2611606037,2010,72,34,38,4,2,2,4,1,3,9,5,4,"Pau-Ferro",17,8,9,0.236,0.235,0.237,0.471,0.529
"132",2611606038,2010,6330,3116,3214,538,265,273,668,347,321,635,321,314,"Guabiraba",1841,933,908,0.291,0.299,0.283,0.507,0.493
"133",2611606039,2010,7276,3495,3781,649,320,329,721,354,367,682,316,366,"Sítio dos Pintos",2052,990,1062,0.282,0.283,0.281,0.482,0.518
"134",2611606040,2010,2566,1251,1315,234,133,101,289,137,152,225,127,98,"Dois Irmãos",748,397,351,0.292,0.317,0.267,0.531,0.469
"135",2611606041,2010,11732,5564,6168,1125,554,571,1132,540,592,1106,521,585,"Brejo da Guabiraba",3363,1615,1748,0.287,0.29,0.283,0.48,0.52
"136",2611606042,2010,9246,4418,4828,806,420,386,826,429,397,783,360,423,"Córrego do Jenipapo",2415,1209,1206,0.261,0.274,0.25,0.501,0.499
