intervalo;setor;endereco;turno;rota_setor;frequencia
07:30 ÌÊ 12:00 hs;6-02 A;R OLÌMPIO CHACON;MANHÌÄ;1;DIARIA
07:30 ÌÊ 12:00 hs;6-02 A;R TURIAÌàÌ_;MANHÌÄ;2;DIARIA
07:30 ÌÊ 12:00 hs;6-02 A;R MARIÌPOLIS;MANHÌÄ;3;DIARIA
07:30 ÌÊ 12:00 hs;6-02 A;R GARDÌ_NIA;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;6-02 A;R PORTO UNIÌÄO;MANHÌÄ;5;DIARIA
07:30 ÌÊ 12:00 hs;6-02 A;R APRÌGIO ALVES;MANHÌÄ;6;DIARIA
07:30 ÌÊ 12:00 hs;6-02 A;R ABC;MANHÌÄ;7;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R TURIAÌàÌ_;TARDE;8;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R PORTO UNIÌÄO;TARDE;9;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R APRÌGIO ALVES;TARDE;10;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R ABC;TARDE;11;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R SANTO CRISTO;TARDE;12;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R OLÌMPIO CHACON;TARDE;13;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R DJALMA HONÌÒRIO;TARDE;14;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R SANTO CRISTO;TARDE;15;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R TURIAÌàÌ_;TARDE;16;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R GARDÌ_NIA;TARDE;17;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R APRÌGIO ALVES;TARDE;18;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R GARDÌ_NIA;TARDE;19;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R MARIÌPOLIS;TARDE;20;DIARIA
13:00 ÌÊ 17:20 hs;6-02 A;R TURIAÌàÌ_;TARDE;21;DIARIA
07:30 ÌÊ 12:00 hs;6-02 B;R DOS PRAZERES;MANHÌÄ;1;DIARIA
07:30 ÌÊ 12:00 hs;6-02 B;TV DOS PRAZERES;MANHÌÄ;2;DIARIA
07:30 ÌÊ 12:00 hs;6-02 B;2å» TV DOS PRAZERES;MANHÌÄ;3;DIARIA
07:30 ÌÊ 12:00 hs;6-02 B;4å» TV DOS PRAZERES;MANHÌÄ;4;DIARIA
13:00 ÌÊ 17:20 hs;6-02 B;R SÌÄO SILVESTRE;TARDE;5;DIARIA
13:00 ÌÊ 17:20 hs;6-02 B;R A MURALHA;TARDE;6;DIARIA
13:00 ÌÊ 17:20 hs;6-02 B;R TERRA NOSTRA;TARDE;7;DIARIA
13:00 ÌÊ 17:20 hs;6-02 B;R VEREADOR TOMAZ LOBO;TARDE;8;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;AV CENTRAL;MANHÌÄ;1;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;AV MARTIN LUTHER KING;MANHÌÄ;2;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R BAHIA FORMOSA;MANHÌÄ;3;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R CONCEICÌÄO DE MAÌàABU;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R CONCEIÌàÌÄO DE MAÌàABU;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R CONCEICÌÄO DE MAÌàABU;MANHÌÄ;4;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R IBIPORÌÄ;MANHÌÄ;5;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R CONCEICÌÄO DE MAÌàABU;MANHÌÄ;6;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R CONCEIÌàÌÄO DE MAÌàABU;MANHÌÄ;6;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;AV CENTRAL;MANHÌÄ;7;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;R MIRANDÌÒPOLIS;MANHÌÄ;8;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;AV CENTRAL;MANHÌÄ;9;DIARIA
07:30 ÌÊ 12:00 hs;6-04 A;AV CENTRAL;MANHÌÄ;9;DIARIA
