"","Var1","Var2","Freq","data","datax"
"1","JAN","2013",41,"JAN/2013","JAN/2013"
"2","FEV","2013",43,"FEV/2013","FEV/2013"
"3","MAR","2013",43,"MAR/2013","MAR/2013"
"4","ABR","2013",37,"ABR/2013","ABR/2013"
"5","MAI","2013",46,"MAI/2013","MAI/2013"
"6","JUN","2013",38,"JUN/2013","JUN/2013"
"7","JUL","2013",30,"JUL/2013","JUL/2013"
"8","AGO","2013",28,"AGO/2013","AGO/2013"
"9","SET","2013",36,"SET/2013","SET/2013"
"10","OUT","2013",39,"OUT/2013","OUT/2013"
"11","NOV","2013",45,"NOV/2013","NOV/2013"
"12","DEZ","2013",26,"DEZ/2013","DEZ/2013"
"13","JAN","2014",39,"JAN/2014","JAN/2014"
"14","FEV","2014",42,"FEV/2014","FEV/2014"
"15","MAR","2014",45,"MAR/2014","MAR/2014"
"16","ABR","2014",48,"ABR/2014","ABR/2014"
"17","MAI","2014",56,"MAI/2014","MAI/2014"
"18","JUN","2014",42,"JUN/2014","JUN/2014"
"19","JUL","2014",34,"JUL/2014","JUL/2014"
"20","AGO","2014",36,"AGO/2014","AGO/2014"
"21","SET","2014",41,"SET/2014","SET/2014"
"22","OUT","2014",38,"OUT/2014","OUT/2014"
"23","NOV","2014",49,"NOV/2014","NOV/2014"
"24","DEZ","2014",44,"DEZ/2014","DEZ/2014"
"25","JAN","2015",53,"JAN/2015","JAN/2015"
"26","FEV","2015",53,"FEV/2015","FEV/2015"
"27","MAR","2015",46,"MAR/2015","MAR/2015"
"28","ABR","2015",45,"ABR/2015","ABR/2015"
"29","MAI","2015",42,"MAI/2015","MAI/2015"
"30","JUN","2015",36,"JUN/2015","JUN/2015"
"31","JUL","2015",43,"JUL/2015","JUL/2015"
"32","AGO","2015",53,"AGO/2015","AGO/2015"
"33","SET","2015",44,"SET/2015","SET/2015"
"34","OUT","2015",49,"OUT/2015","OUT/2015"
"35","NOV","2015",54,"NOV/2015","NOV/2015"
"36","DEZ","2015",53,"DEZ/2015","DEZ/2015"
"37","JAN","2016",57,"JAN/2016","JAN/2016"
"38","FEV","2016",55,"FEV/2016","FEV/2016"
"39","MAR","2016",52,"MAR/2016","MAR/2016"
"40","ABR","2016",47,"ABR/2016","ABR/2016"
"41","MAI","2016",46,"MAI/2016","MAI/2016"
"42","JUN","2016",53,"JUN/2016","JUN/2016"
"43","JUL","2016",58,"JUL/2016","JUL/2016"
"44","AGO","2016",71,"AGO/2016","AGO/2016"
"45","SET","2016",51,"SET/2016","SET/2016"
"46","OUT","2016",69,"OUT/2016","OUT/2016"
"47","NOV","2016",46,"NOV/2016","NOV/2016"
"48","DEZ","2016",53,"DEZ/2016","DEZ/2016"
"49","JAN","2017",70,"JAN/2017","JAN/2017"
"50","FEV","2017",74,"FEV/2017","FEV/2017"
"51","MAR","2017",96,"MAR/2017","MAR/2017"
"52","ABR","2017",72,"ABR/2017","ABR/2017"
"53","MAI","2017",58,"MAI/2017","MAI/2017"
"54","JUN","2017",59,"JUN/2017","JUN/2017"
"55","JUL","2017",53,"JUL/2017","JUL/2017"
"56","AGO","2017",49,"AGO/2017","AGO/2017"
"57","SET","2017",71,"SET/2017","SET/2017"
"58","OUT","2017",68,"OUT/2017","OUT/2017"
"59","NOV","2017",60,"NOV/2017","NOV/2017"
